Entity,Year,death_per_population
Thailand,1996,10.6
Tonga,1996,10.09
Cook Islands,1996,7.88
Taiwan,1996,7.81
Monaco,1996,5.06
South Korea,1996,5.02
Mongolia,1995,18.81
China,1995,12.95
Japan,1995,11.54
Guinea,1995,9.62
Thailand,1995,9.03
Tonga,1995,8.61
Cook Islands,1995,6.78
Taiwan,1995,6.6
South Korea,1995,4.23
Monaco,1995,4.14
Mongolia,1994,15.73
China,1994,10.67
Japan,1994,9.2
Guinea,1994,8.08
Thailand,1994,7.48
Tonga,1994,7.13
Cook Islands,1994,5.68
Taiwan,1994,5.42
South Korea,1994,3.57
Monaco,1994,3.21
Mongolia,1993,12.67
China,1993,8.42
Japan,1993,7.1
Guinea,1993,6.57
Thailand,1993,5.94
Tonga,1993,5.63
Cook Islands,1993,4.57
Taiwan,1993,4.26
South Korea,1993,2.89
Monaco,1993,2.59
Mongolia,1992,9.58
China,1992,6.23
Japan,1992,5.15
Guinea,1992,4.97
Thailand,1992,4.43
Tonga,1992,4.24
Cook Islands,1992,3.45
Taiwan,1992,3.13
South Korea,1992,2.21
Monaco,1992,1.96
Mongolia,1991,6.45
China,1991,4.1
Guinea,1991,3.37
Japan,1991,3.33
Thailand,1991,2.92
Tonga,1991,2.83
Cook Islands,1991,2.32
Taiwan,1991,2.03
South Korea,1991,1.51
Monaco,1991,1.31
Mongolia,1990,3.24
China,1990,2.03
Guinea,1990,1.73
Japan,1990,1.62
Thailand,1990,1.44
Tonga,1990,1.42
Cook Islands,1990,1.17
Taiwan,1990,0.99
South Korea,1990,0.78
Monaco,1990,0.66
